known_error_id,cause_family,applies_to_entity_id,compatible_entity_type,symptom_category,trigger_metric_id,breach_direction,onset_shape,recommended_action,base_remediation_efficacy,base_recurrence_probability,knowledge_status,trust_level,valid_from,valid_to,data_classification
KE-0025,NETWORK_PATH_DEGRADATION,INFRA-0083,SHARED_INFRASTRUCTURE,connection failure,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0026,EXTERNAL_VENDOR_OUTAGE,VENDOR-0045,EXTERNAL_VENDOR_SERVICE,request timeout,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0027,SOFTWARE_REGRESSION,COMP-0484,SOFTWARE_COMPONENT,latency increase,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0028,DATA_STORE_CONTENTION,DATA-0105,DATA_STORE,latency increase,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0029,QUEUE_BACKLOG,DATA-0155,DATA_STORE,latency increase,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0030,SECURE_GATEWAY_POLICY,POL-0044,POLICY_OR_CREDENTIAL,service degradation,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0031,CONFIGURATION_DRIFT,COMP-0126,SOFTWARE_COMPONENT,authentication failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0032,CAPACITY_EXHAUSTION,CLOUD-0231,CLOUD_RESOURCE,request timeout,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0033,CERTIFICATE_EXPIRY,COMP-0182,SOFTWARE_COMPONENT,request timeout,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0034,IDENTITY_DEGRADATION,VENDOR-0012,EXTERNAL_VENDOR_SERVICE,authentication failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0072,SHARED_INFRASTRUCTURE,latency increase,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0003,EXTERNAL_VENDOR_SERVICE,connection failure,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0037,SOFTWARE_REGRESSION,COMP-0431,SOFTWARE_COMPONENT,transaction failure,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0038,DATA_STORE_CONTENTION,DATA-0134,DATA_STORE,transaction failure,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0039,QUEUE_BACKLOG,DATA-0048,DATA_STORE,service degradation,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0040,SECURE_GATEWAY_POLICY,POL-0059,POLICY_OR_CREDENTIAL,authentication failure,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0041,CONFIGURATION_DRIFT,POL-0028,POLICY_OR_CREDENTIAL,transaction failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0042,CAPACITY_EXHAUSTION,DATA-0073,DATA_STORE,service degradation,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0043,CERTIFICATE_EXPIRY,POL-0050,POLICY_OR_CREDENTIAL,authentication failure,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0044,IDENTITY_DEGRADATION,VENDOR-0037,EXTERNAL_VENDOR_SERVICE,transaction failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0045,NETWORK_PATH_DEGRADATION,INFRA-0059,SHARED_INFRASTRUCTURE,request timeout,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0046,EXTERNAL_VENDOR_OUTAGE,VENDOR-0029,EXTERNAL_VENDOR_SERVICE,service degradation,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0047,SOFTWARE_REGRESSION,COMP-0400,SOFTWARE_COMPONENT,service degradation,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0048,DATA_STORE_CONTENTION,DATA-0138,DATA_STORE,request timeout,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0049,QUEUE_BACKLOG,DATA-0045,DATA_STORE,queue delay,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0050,SECURE_GATEWAY_POLICY,POL-0009,POLICY_OR_CREDENTIAL,connection failure,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0051,CONFIGURATION_DRIFT,INFRA-0137,SHARED_INFRASTRUCTURE,service degradation,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0052,CAPACITY_EXHAUSTION,COMP-0020,SOFTWARE_COMPONENT,latency increase,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0053,CERTIFICATE_EXPIRY,INFRA-0061,SHARED_INFRASTRUCTURE,connection failure,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0054,IDENTITY_DEGRADATION,VENDOR-0035,EXTERNAL_VENDOR_SERVICE,service degradation,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0055,NETWORK_PATH_DEGRADATION,INFRA-0016,SHARED_INFRASTRUCTURE,connection failure,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0056,EXTERNAL_VENDOR_OUTAGE,VENDOR-0029,EXTERNAL_VENDOR_SERVICE,request timeout,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0057,SOFTWARE_REGRESSION,COMP-0386,SOFTWARE_COMPONENT,latency increase,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0058,DATA_STORE_CONTENTION,DATA-0078,DATA_STORE,latency increase,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0059,QUEUE_BACKLOG,DATA-0037,DATA_STORE,latency increase,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0060,SECURE_GATEWAY_POLICY,POL-0051,POLICY_OR_CREDENTIAL,service degradation,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0061,CONFIGURATION_DRIFT,COMP-0153,SOFTWARE_COMPONENT,authentication failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0062,CAPACITY_EXHAUSTION,CLOUD-0171,CLOUD_RESOURCE,request timeout,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0063,CERTIFICATE_EXPIRY,COMP-0388,SOFTWARE_COMPONENT,request timeout,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0064,IDENTITY_DEGRADATION,VENDOR-0005,EXTERNAL_VENDOR_SERVICE,authentication failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0065,NETWORK_PATH_DEGRADATION,INFRA-0027,SHARED_INFRASTRUCTURE,latency increase,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0066,EXTERNAL_VENDOR_OUTAGE,VENDOR-0014,EXTERNAL_VENDOR_SERVICE,connection failure,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0067,SOFTWARE_REGRESSION,COMP-0197,SOFTWARE_COMPONENT,transaction failure,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0068,DATA_STORE_CONTENTION,DATA-0144,DATA_STORE,transaction failure,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0069,QUEUE_BACKLOG,DATA-0051,DATA_STORE,service degradation,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0070,SECURE_GATEWAY_POLICY,POL-0004,POLICY_OR_CREDENTIAL,authentication failure,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0071,CONFIGURATION_DRIFT,POL-0020,POLICY_OR_CREDENTIAL,transaction failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0072,CAPACITY_EXHAUSTION,DATA-0104,DATA_STORE,service degradation,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0073,CERTIFICATE_EXPIRY,POL-0024,POLICY_OR_CREDENTIAL,authentication failure,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0074,IDENTITY_DEGRADATION,VENDOR-0002,EXTERNAL_VENDOR_SERVICE,transaction failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0075,NETWORK_PATH_DEGRADATION,INFRA-0003,SHARED_INFRASTRUCTURE,request timeout,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0076,EXTERNAL_VENDOR_OUTAGE,VENDOR-0046,EXTERNAL_VENDOR_SERVICE,service degradation,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0077,SOFTWARE_REGRESSION,COMP-0154,SOFTWARE_COMPONENT,service degradation,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0078,DATA_STORE_CONTENTION,DATA-0145,DATA_STORE,request timeout,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0079,QUEUE_BACKLOG,DATA-0122,DATA_STORE,queue delay,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0080,SECURE_GATEWAY_POLICY,POL-0056,POLICY_OR_CREDENTIAL,connection failure,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0081,CONFIGURATION_DRIFT,INFRA-0103,SHARED_INFRASTRUCTURE,service degradation,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0082,CAPACITY_EXHAUSTION,COMP-0380,SOFTWARE_COMPONENT,latency increase,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0083,CERTIFICATE_EXPIRY,INFRA-0134,SHARED_INFRASTRUCTURE,connection failure,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0084,IDENTITY_DEGRADATION,VENDOR-0003,EXTERNAL_VENDOR_SERVICE,service degradation,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0085,NETWORK_PATH_DEGRADATION,INFRA-0013,SHARED_INFRASTRUCTURE,connection failure,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0086,EXTERNAL_VENDOR_OUTAGE,VENDOR-0058,EXTERNAL_VENDOR_SERVICE,request timeout,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0087,SOFTWARE_REGRESSION,COMP-0362,SOFTWARE_COMPONENT,latency increase,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0088,DATA_STORE_CONTENTION,DATA-0122,DATA_STORE,latency increase,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0089,QUEUE_BACKLOG,DATA-0127,DATA_STORE,latency increase,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0090,SECURE_GATEWAY_POLICY,POL-0007,POLICY_OR_CREDENTIAL,service degradation,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0091,CONFIGURATION_DRIFT,COMP-0051,SOFTWARE_COMPONENT,authentication failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0092,CAPACITY_EXHAUSTION,CLOUD-0174,CLOUD_RESOURCE,request timeout,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0093,CERTIFICATE_EXPIRY,COMP-0207,SOFTWARE_COMPONENT,request timeout,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0094,IDENTITY_DEGRADATION,VENDOR-0047,EXTERNAL_VENDOR_SERVICE,authentication failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0095,NETWORK_PATH_DEGRADATION,INFRA-0067,SHARED_INFRASTRUCTURE,latency increase,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0096,EXTERNAL_VENDOR_OUTAGE,VENDOR-0018,EXTERNAL_VENDOR_SERVICE,connection failure,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0097,SOFTWARE_REGRESSION,COMP-0445,SOFTWARE_COMPONENT,transaction failure,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0098,DATA_STORE_CONTENTION,DATA-0120,DATA_STORE,transaction failure,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0099,QUEUE_BACKLOG,DATA-0061,DATA_STORE,service degradation,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0100,SECURE_GATEWAY_POLICY,POL-0068,POLICY_OR_CREDENTIAL,authentication failure,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
