entity_id,entity_type,name,region,business_unit,criticality,service_provider_type,trust_level,lifecycle_status,data_classification
BO-0016,BUSINESS_OUTCOME,Business Outcome 0016,GLOBAL,Data,HIGH,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
BO-0017,BUSINESS_OUTCOME,Business Outcome 0017,GLOBAL,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0018,BUSINESS_OUTCOME,Business Outcome 0018,GLOBAL,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0019,BUSINESS_OUTCOME,Business Outcome 0019,GLOBAL,Manufacturing,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0020,BUSINESS_OUTCOME,Business Outcome 0020,GLOBAL,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0001,BUSINESS_CAPABILITY,Business Capability 0001,AP-NORTHEAST,Finance,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0002,BUSINESS_CAPABILITY,Business Capability 0002,AP-SOUTH,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0003,BUSINESS_CAPABILITY,Business Capability 0003,AP-SOUTH,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0004,BUSINESS_CAPABILITY,Business Capability 0004,LATAM,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0005,BUSINESS_CAPABILITY,Business Capability 0005,EU-WEST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0006,BUSINESS_CAPABILITY,Business Capability 0006,AP-SOUTH,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0007,BUSINESS_CAPABILITY,Business Capability 0007,AP-NORTHEAST,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0008,BUSINESS_CAPABILITY,Business Capability 0008,AP-SOUTH,Legal,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0009,BUSINESS_CAPABILITY,Business Capability 0009,US-EAST,Data,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0010,BUSINESS_CAPABILITY,Business Capability 0010,US-WEST,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0011,BUSINESS_CAPABILITY,Business Capability 0011,LATAM,Sales,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0012,BUSINESS_CAPABILITY,Business Capability 0012,LATAM,Data,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0013,BUSINESS_CAPABILITY,Business Capability 0013,AP-SOUTH,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0014,BUSINESS_CAPABILITY,Business Capability 0014,EU-CENTRAL,Data,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0015,BUSINESS_CAPABILITY,Business Capability 0015,AP-NORTHEAST,Engineering,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0016,BUSINESS_CAPABILITY,Business Capability 0016,LATAM,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0017,BUSINESS_CAPABILITY,Business Capability 0017,AP-SOUTH,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0018,BUSINESS_CAPABILITY,Business Capability 0018,AP-SOUTH,Security,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0019,BUSINESS_CAPABILITY,Business Capability 0019,US-WEST,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0020,BUSINESS_CAPABILITY,Business Capability 0020,GLOBAL,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0021,BUSINESS_CAPABILITY,Business Capability 0021,US-WEST,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0022,BUSINESS_CAPABILITY,Business Capability 0022,AP-SOUTH,Support,MEDIUM,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0023,BUSINESS_CAPABILITY,Business Capability 0023,AP-SOUTH,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0024,BUSINESS_CAPABILITY,Business Capability 0024,US-EAST,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0025,BUSINESS_CAPABILITY,Business Capability 0025,US-WEST,Finance,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0026,BUSINESS_CAPABILITY,Business Capability 0026,LATAM,Legal,MEDIUM,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0027,BUSINESS_CAPABILITY,Business Capability 0027,LATAM,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0028,BUSINESS_CAPABILITY,Business Capability 0028,US-WEST,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0029,BUSINESS_CAPABILITY,Business Capability 0029,EU-CENTRAL,Data,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0030,BUSINESS_CAPABILITY,Business Capability 0030,AP-SOUTH,Commerce,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0031,BUSINESS_CAPABILITY,Business Capability 0031,AP-NORTHEAST,HR,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0032,BUSINESS_CAPABILITY,Business Capability 0032,US-WEST,Finance,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0033,BUSINESS_CAPABILITY,Business Capability 0033,EU-CENTRAL,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0034,BUSINESS_CAPABILITY,Business Capability 0034,AP-NORTHEAST,Engineering,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0035,BUSINESS_CAPABILITY,Business Capability 0035,AP-SOUTH,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0036,BUSINESS_CAPABILITY,Business Capability 0036,US-EAST,Sales,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0037,BUSINESS_CAPABILITY,Business Capability 0037,US-EAST,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0038,BUSINESS_CAPABILITY,Business Capability 0038,AP-SOUTH,Engineering,MEDIUM,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0039,BUSINESS_CAPABILITY,Business Capability 0039,AP-SOUTH,Manufacturing,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0040,BUSINESS_CAPABILITY,Business Capability 0040,AP-SOUTH,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0041,BUSINESS_CAPABILITY,Business Capability 0041,US-EAST,Engineering,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0042,BUSINESS_CAPABILITY,Business Capability 0042,US-WEST,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0043,BUSINESS_CAPABILITY,Business Capability 0043,US-EAST,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0044,BUSINESS_CAPABILITY,Business Capability 0044,US-WEST,Sales,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0045,BUSINESS_CAPABILITY,Business Capability 0045,US-WEST,Sales,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0046,BUSINESS_CAPABILITY,Business Capability 0046,LATAM,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0047,BUSINESS_CAPABILITY,Business Capability 0047,US-EAST,Sales,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0048,BUSINESS_CAPABILITY,Business Capability 0048,AP-NORTHEAST,Supply Chain,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0049,BUSINESS_CAPABILITY,Business Capability 0049,GLOBAL,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0050,BUSINESS_CAPABILITY,Business Capability 0050,GLOBAL,Finance,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0051,BUSINESS_CAPABILITY,Business Capability 0051,GLOBAL,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0052,BUSINESS_CAPABILITY,Business Capability 0052,GLOBAL,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0053,BUSINESS_CAPABILITY,Business Capability 0053,US-WEST,Engineering,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0054,BUSINESS_CAPABILITY,Business Capability 0054,LATAM,Data,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0055,BUSINESS_CAPABILITY,Business Capability 0055,US-EAST,Engineering,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0056,BUSINESS_CAPABILITY,Business Capability 0056,AP-NORTHEAST,Engineering,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0057,BUSINESS_CAPABILITY,Business Capability 0057,LATAM,Legal,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0058,BUSINESS_CAPABILITY,Business Capability 0058,LATAM,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0059,BUSINESS_CAPABILITY,Business Capability 0059,US-EAST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0060,BUSINESS_CAPABILITY,Business Capability 0060,US-EAST,Sales,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0061,BUSINESS_CAPABILITY,Business Capability 0061,US-WEST,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0062,BUSINESS_CAPABILITY,Business Capability 0062,AP-SOUTH,Supply Chain,MEDIUM,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0063,BUSINESS_CAPABILITY,Business Capability 0063,US-EAST,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0064,BUSINESS_CAPABILITY,Business Capability 0064,EU-CENTRAL,Support,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0065,BUSINESS_CAPABILITY,Business Capability 0065,US-EAST,Finance,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0066,BUSINESS_CAPABILITY,Business Capability 0066,GLOBAL,Data,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0067,BUSINESS_CAPABILITY,Business Capability 0067,AP-SOUTH,Security,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0068,BUSINESS_CAPABILITY,Business Capability 0068,EU-CENTRAL,Data,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0069,BUSINESS_CAPABILITY,Business Capability 0069,US-EAST,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0070,BUSINESS_CAPABILITY,Business Capability 0070,AP-SOUTH,Finance,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0071,BUSINESS_CAPABILITY,Business Capability 0071,LATAM,Manufacturing,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0072,BUSINESS_CAPABILITY,Business Capability 0072,US-WEST,Sales,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0073,BUSINESS_CAPABILITY,Business Capability 0073,LATAM,Supply Chain,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0074,BUSINESS_CAPABILITY,Business Capability 0074,US-WEST,Sales,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0075,BUSINESS_CAPABILITY,Business Capability 0075,EU-WEST,Manufacturing,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0076,BUSINESS_CAPABILITY,Business Capability 0076,LATAM,Manufacturing,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0077,BUSINESS_CAPABILITY,Business Capability 0077,GLOBAL,Engineering,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0078,BUSINESS_CAPABILITY,Business Capability 0078,US-EAST,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0079,BUSINESS_CAPABILITY,Business Capability 0079,US-WEST,HR,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0080,BUSINESS_CAPABILITY,Business Capability 0080,US-WEST,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0081,BUSINESS_CAPABILITY,Business Capability 0081,AP-SOUTH,Engineering,HIGH,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0082,BUSINESS_CAPABILITY,Business Capability 0082,EU-CENTRAL,Sales,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0083,BUSINESS_CAPABILITY,Business Capability 0083,EU-CENTRAL,Finance,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0084,BUSINESS_CAPABILITY,Business Capability 0084,EU-WEST,Security,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0085,BUSINESS_CAPABILITY,Business Capability 0085,EU-CENTRAL,Engineering,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0086,BUSINESS_CAPABILITY,Business Capability 0086,EU-CENTRAL,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0087,BUSINESS_CAPABILITY,Business Capability 0087,GLOBAL,Support,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0088,BUSINESS_CAPABILITY,Business Capability 0088,US-WEST,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0089,BUSINESS_CAPABILITY,Business Capability 0089,EU-WEST,Corporate,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0090,BUSINESS_CAPABILITY,Business Capability 0090,US-WEST,Corporate,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0091,BUSINESS_CAPABILITY,Business Capability 0091,LATAM,Engineering,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0092,BUSINESS_CAPABILITY,Business Capability 0092,EU-CENTRAL,Sales,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0093,BUSINESS_CAPABILITY,Business Capability 0093,AP-NORTHEAST,Finance,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0094,BUSINESS_CAPABILITY,Business Capability 0094,EU-WEST,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0095,BUSINESS_CAPABILITY,Business Capability 0095,LATAM,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0096,BUSINESS_CAPABILITY,Business Capability 0096,AP-SOUTH,Corporate,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0097,BUSINESS_CAPABILITY,Business Capability 0097,LATAM,Data,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0098,BUSINESS_CAPABILITY,Business Capability 0098,AP-NORTHEAST,Sales,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CAP-0099,BUSINESS_CAPABILITY,Business Capability 0099,EU-WEST,Legal,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
CAP-0100,BUSINESS_CAPABILITY,Business Capability 0100,US-EAST,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0001,BUSINESS_APPLICATION,Business Application 0001,US-EAST,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0002,BUSINESS_APPLICATION,Business Application 0002,US-WEST,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0003,BUSINESS_APPLICATION,Business Application 0003,US-WEST,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0004,BUSINESS_APPLICATION,Business Application 0004,US-WEST,Supply Chain,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0005,BUSINESS_APPLICATION,Business Application 0005,EU-WEST,Finance,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0006,BUSINESS_APPLICATION,Business Application 0006,AP-SOUTH,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0007,BUSINESS_APPLICATION,Business Application 0007,GLOBAL,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0008,BUSINESS_APPLICATION,Business Application 0008,AP-SOUTH,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0009,BUSINESS_APPLICATION,Business Application 0009,EU-WEST,Engineering,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0010,BUSINESS_APPLICATION,Business Application 0010,EU-WEST,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0011,BUSINESS_APPLICATION,Business Application 0011,US-EAST,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0012,BUSINESS_APPLICATION,Business Application 0012,LATAM,Legal,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0013,BUSINESS_APPLICATION,Business Application 0013,EU-CENTRAL,Sales,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0014,BUSINESS_APPLICATION,Business Application 0014,LATAM,Data,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0015,BUSINESS_APPLICATION,Business Application 0015,AP-NORTHEAST,Engineering,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0016,BUSINESS_APPLICATION,Business Application 0016,GLOBAL,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0017,BUSINESS_APPLICATION,Business Application 0017,LATAM,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0018,BUSINESS_APPLICATION,Business Application 0018,AP-SOUTH,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0019,BUSINESS_APPLICATION,Business Application 0019,AP-NORTHEAST,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0020,BUSINESS_APPLICATION,Business Application 0020,US-EAST,Corporate,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0021,BUSINESS_APPLICATION,Business Application 0021,US-EAST,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0022,BUSINESS_APPLICATION,Business Application 0022,US-WEST,Commerce,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0023,BUSINESS_APPLICATION,Business Application 0023,GLOBAL,Corporate,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0024,BUSINESS_APPLICATION,Business Application 0024,EU-CENTRAL,Data,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0025,BUSINESS_APPLICATION,Business Application 0025,EU-WEST,Support,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0026,BUSINESS_APPLICATION,Business Application 0026,GLOBAL,Manufacturing,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0027,BUSINESS_APPLICATION,Business Application 0027,AP-SOUTH,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0028,BUSINESS_APPLICATION,Business Application 0028,AP-NORTHEAST,Engineering,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0029,BUSINESS_APPLICATION,Business Application 0029,EU-CENTRAL,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0030,BUSINESS_APPLICATION,Business Application 0030,GLOBAL,Sales,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0031,BUSINESS_APPLICATION,Business Application 0031,AP-SOUTH,Sales,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0032,BUSINESS_APPLICATION,Business Application 0032,US-EAST,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0033,BUSINESS_APPLICATION,Business Application 0033,AP-SOUTH,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0034,BUSINESS_APPLICATION,Business Application 0034,EU-CENTRAL,HR,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
APP-0035,BUSINESS_APPLICATION,Business Application 0035,US-WEST,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0036,BUSINESS_APPLICATION,Business Application 0036,AP-NORTHEAST,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0037,BUSINESS_APPLICATION,Business Application 0037,AP-SOUTH,Engineering,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0038,BUSINESS_APPLICATION,Business Application 0038,EU-CENTRAL,Finance,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0039,BUSINESS_APPLICATION,Business Application 0039,EU-CENTRAL,Security,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0040,BUSINESS_APPLICATION,Business Application 0040,AP-SOUTH,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0041,BUSINESS_APPLICATION,Business Application 0041,US-WEST,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0042,BUSINESS_APPLICATION,Business Application 0042,AP-SOUTH,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0043,BUSINESS_APPLICATION,Business Application 0043,US-EAST,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0044,BUSINESS_APPLICATION,Business Application 0044,US-WEST,Finance,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0045,BUSINESS_APPLICATION,Business Application 0045,LATAM,Support,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0046,BUSINESS_APPLICATION,Business Application 0046,GLOBAL,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0047,BUSINESS_APPLICATION,Business Application 0047,US-WEST,Supply Chain,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0048,BUSINESS_APPLICATION,Business Application 0048,GLOBAL,Data,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0049,BUSINESS_APPLICATION,Business Application 0049,EU-WEST,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0050,BUSINESS_APPLICATION,Business Application 0050,LATAM,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0051,BUSINESS_APPLICATION,Business Application 0051,EU-WEST,Corporate,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0052,BUSINESS_APPLICATION,Business Application 0052,US-EAST,Manufacturing,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0053,BUSINESS_APPLICATION,Business Application 0053,EU-WEST,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0054,BUSINESS_APPLICATION,Business Application 0054,AP-NORTHEAST,Manufacturing,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0055,BUSINESS_APPLICATION,Business Application 0055,AP-NORTHEAST,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0056,BUSINESS_APPLICATION,Business Application 0056,US-WEST,Commerce,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0057,BUSINESS_APPLICATION,Business Application 0057,AP-SOUTH,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
APP-0058,BUSINESS_APPLICATION,Business Application 0058,GLOBAL,Engineering,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
